TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
663.5261,677.1,430.965,-564.616,1120.0,2668.75,-1277.5,-106.4,-159.6,76.0
663.5761,678.32,430.233,-564.311,-1583.75,2450.0,-805.0,-104.88,-141.36,94.24
663.6261,669.597,423.157,-561.383,70.0,2511.25,-656.25,-132.24,-156.56,79.04
663.6761,676.612,428.342,-562.176,691.25,2616.25,-1207.5,-115.52,-152.0,89.68
663.7261,676.307,431.514,-563.274,87.5,2423.75,-1505.0,-118.56,-155.04,74.48
663.7761,669.658,425.902,-566.141,-525.0,2161.25,-901.25,-101.84,-145.92,85.12
663.8261,670.634,429.928,-564.433,-875.0,2021.25,-621.25,-112.48,-161.12,83.6
663.8761,676.795,429.074,-562.725,-1163.75,2730.0,-315.0,-117.04,-150.48,88.16
663.9261,670.573,428.769,-560.041,-883.75,3263.75,-393.75,-106.4,-142.88,76.0
663.9763,671.061,429.989,-560.041,-183.75,3158.75,-1041.25,-109.44,-150.48,80.56
664.0261,670.207,434.503,-561.993,-507.5,2563.75,-945.0,-110.96,-147.44,80.56
664.0762,669.597,433.588,-560.407,-376.25,2695.0,-96.25,-120.08,-153.52,74.48
664.1261,672.281,430.111,-561.688,61.25,3001.25,-315.0,-112.48,-156.56,76.0
664.1761,672.464,430.538,-561.444,52.5,2852.5,-717.5,-114.0,-153.52,95.76
664.2261,671.61,432.429,-562.969,463.75,3430.0,-367.5,-126.16,-158.08,92.72
664.2761,677.161,435.418,-565.287,463.75,3517.5,-621.25,-121.6,-148.96,80.56
664.3261,675.575,428.098,-560.407,-1863.75,3316.25,-560.0,-117.04,-144.4,94.24
664.3761,671.732,431.148,-556.442,-743.75,3062.5,-341.25,-112.48,-148.96,79.04
664.4261,673.867,427.61,-559.858,183.75,3027.5,-796.25,-101.84,-152.0,86.64
664.4762,675.026,434.381,-560.041,236.25,2336.25,-1260.0,-109.44,-139.84,88.16
664.5261,667.889,430.843,-563.213,-43.75,2397.5,-805.0,-114.0,-150.48,77.52
664.5761,671.854,436.699,-562.847,-603.75,2082.5,-490.0,-109.44,-148.96,91.2
664.6261,673.013,432.124,-563.335,-673.75,3552.5,-157.5,-107.92,-156.56,80.56
664.6761,673.501,433.1,-557.967,-166.25,3946.25,78.75,-127.68,-145.92,85.12
664.7261,672.281,432.856,-556.747,341.25,3561.25,-560.0,-115.52,-135.28,66.88
664.7761,671.732,432.124,-560.834,-26.25,2222.5,-542.5,-103.36,-148.96,77.52
664.8261,674.416,428.83,-559.37,218.75,2073.75,-183.75,-124.64,-147.44,89.68
664.8761,676.795,424.987,-560.041,297.5,2607.5,-551.25,-104.88,-139.84,85.12
664.9261,675.575,428.342,-559.858,288.75,2861.25,-1198.75,-117.04,-142.88,69.92
664.9761,672.708,431.758,-561.993,8.75,2450.0,-927.5,-118.56,-150.48,79.04
665.0261,678.137,426.573,-562.542,-210.0,1688.75,-1198.75,-106.4,-136.8,76.0
665.0761,674.965,437.614,-560.773,-2336.25,1610.0,-1890.0,-107.92,-150.48,88.16
665.1261,672.098,436.455,-556.015,-682.5,1181.25,-1242.5,-114.0,-162.64,98.8
665.1761,673.013,432.795,-555.771,-1163.75,796.25,-490.0,-103.36,-165.68,80.56
665.2261,668.438,430.355,-562.725,70.0,-43.75,-2266.25,-103.36,-142.88,82.08
665.2761,660.63,435.113,-565.836,-490.0,-1977.5,-2161.25,-106.4,-158.08,85.12
665.3261,652.578,443.653,-571.387,358.75,-1356.25,-2301.25,-115.52,-156.56,83.6
665.3761,663.802,441.762,-575.169,-218.75,743.75,-1216.25,-118.56,-142.88,98.8
665.4261,660.63,438.224,-574.681,-726.25,1653.75,-463.75,-107.92,-142.88,86.64
665.4761,658.617,438.468,-572.912,52.5,2975.0,-1233.75,-110.96,-156.56,86.64
665.5261,659.41,445.056,-570.594,-245.0,3141.25,-1321.25,-100.32,-167.2,89.68
665.5761,656.848,440.054,-570.838,-236.25,3456.25,-708.75,-104.88,-162.64,101.84
665.6261,660.569,437.797,-566.995,-131.25,2791.25,-752.5,-97.28,-155.04,86.64
665.6761,657.519,437.248,-568.581,78.75,2686.25,-1382.5,-106.4,-156.56,101.84
665.7261,661.057,440.603,-568.032,43.75,1802.5,-1470.0,-97.28,-159.6,77.52
665.7761,654.713,438.346,-571.204,-140.0,2738.75,-883.75,-123.12,-150.48,100.32
665.8261,656.421,437.309,-574.376,962.5,2528.75,-1601.25,-118.56,-162.64,92.72
665.8761,660.02,440.908,-572.912,-743.75,3220.0,-918.75,-103.36,-156.56,91.2
665.9261,654.225,438.529,-571.814,297.5,3718.75,700.0,-112.48,-155.04,83.6
665.9761,663.558,434.198,-575.413,306.25,2213.75,603.75,-109.44,-161.12,79.04
666.0261,656.482,441.335,-575.535,-166.25,332.5,-1277.5,-112.48,-162.64,97.28
666.0761,639.768,443.531,-578.341,-962.5,2152.5,603.75,-104.88,-161.12,86.64
666.1261,674.05,439.749,-583.038,-3955.0,2817.5,3333.75,-112.48,-148.96,100.32
666.1761,672.342,432.978,-573.095,-2310.0,6658.75,1207.5,-106.4,-159.6,85.12
666.2261,671.183,438.041,-562.237,-1487.5,8041.25,-1076.25,-104.88,-147.44,80.56
666.2761,673.44,436.699,-551.745,105.0,7822.5,-1006.25,-109.44,-158.08,91.2
666.3261,662.643,430.538,-551.135,1505.0,4943.75,-2100.0,-118.56,-161.12,77.52
666.3761,647.027,446.703,-559.126,463.75,-428.75,-3001.25,-106.4,-153.52,85.12
